FID,tile,Mg_CO2e_ha,Mg_CO2e_px,ObjectId,Shape__Are,Shape__Len
14,00N_100W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_100W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_100W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,15,1245542622548.870100000000000,4464169.765581389900000
15,00N_110E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_110E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_110E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,16,1245542622548.870100000000000,4464169.765581389900000
16,00N_120E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_120E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_120E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,17,1245542622548.870100000000000,4464169.765581389900000
17,00N_130E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_130E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_130E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,18,1245542622548.870100000000000,4464169.765581389900000
18,00N_140E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_140E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_140E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,19,1245542622548.870100000000000,4464169.765581389900000
19,00N_150E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_150E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_150E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,20,1245542622548.870100000000000,4464169.765581389900000
20,00N_160E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=00N_160E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/00N_160E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,21,1245542622548.870100000000000,4464169.765581389900000
21,10N_000E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_000E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_000E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,22,1245542622548.870100000000000,4464169.765581389900000
22,10N_010E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_010E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_010E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,23,1245542622548.870100000000000,4464169.765581389900000
23,10N_010W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_010W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_010W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,24,1245542622548.870100000000000,4464169.765581389900000
